date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,inflation rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply
2023-10-27,0.0,18417.188868638157,5.325387575018247e-12,5.325387575018247e-12,5.325387575018247e-12,5.325387575018247e-12,5.325387575018247e-12,18417.188868638157,70.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-10-28,0.0,18417.188868638157,5.325387575018247e-12,5.325387575018247e-12,5.325387575018247e-12,5.325387575018247e-12,5.325387575018247e-12,18417.188868638157,65.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-10-29,0.0,8443.882137539178,6.0445956183538544e-12,6.0445956183538544e-12,6.0445956183538544e-12,6.0445956183538544e-12,6.0445956183538544e-12,8443.882137539178,72.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-10-30,0.0,8994.95110302869,6.151154264201899e-12,6.151154264201899e-12,6.151154264201899e-12,6.151154264201899e-12,6.151154264201899e-12,8994.95110302869,68.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-10-31,0.0,43890.35489401969,1.075557057422685e-11,1.075557057422685e-11,1.075557057422685e-11,1.075557057422685e-11,1.075557057422685e-11,43890.35489401969,66.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-01,0.0,64011.90206917856,1.644425933872838e-11,1.644425933872838e-11,1.644425933872838e-11,1.644425933872838e-11,1.644425933872838e-11,64011.90206917856,66.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-02,0.0,36064.851249519925,1.1944052042447966e-11,1.1944052042447966e-11,1.1944052042447966e-11,1.1944052042447966e-11,1.1944052042447966e-11,36064.851249519925,72.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-03,0.0,30355.908360920163,1.5109332954218335e-11,1.5109332954218335e-11,1.5109332954218335e-11,1.5109332954218335e-11,1.5109332954218335e-11,30355.908360920163,65.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-04,0.0,28619.18787694165,2.0644264724991668e-11,2.0644264724991668e-11,2.0644264724991668e-11,2.0644264724991668e-11,2.0644264724991668e-11,28619.18787694165,68.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-05,0.0,68113.195884537,3.9733129216562455e-11,3.9733129216562455e-11,3.9733129216562455e-11,3.9733129216562455e-11,3.9733129216562455e-11,68113.195884537,70.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-06,0.0,102186.81893229298,3.248455629742547e-11,3.248455629742547e-11,3.248455629742547e-11,3.248455629742547e-11,3.248455629742547e-11,102186.81893229298,74.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-07,0.0,50715.46567170836,2.8160521901528317e-11,2.8160521901528317e-11,2.8160521901528317e-11,2.8160521901528317e-11,2.8160521901528317e-11,50715.46567170836,68.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-08,0.0,61919.49637799483,2.442755379644637e-11,2.442755379644637e-11,2.442755379644637e-11,2.442755379644637e-11,2.442755379644637e-11,61919.49637799483,66.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-09,0.0,42777.03482395573,1.9454965643508264e-11,1.9454965643508264e-11,1.9454965643508264e-11,1.9454965643508264e-11,1.9454965643508264e-11,42777.03482395573,69.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-10,0.0,82847.74817172391,9.559455314381232e-12,9.559455314381232e-12,9.559455314381232e-12,9.559455314381232e-12,9.559455314381232e-12,82847.74817172391,70.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-11,0.0,64863.274153501,3.688972965220954e-12,3.688972965220954e-12,3.688972965220954e-12,3.688972965220954e-12,3.688972965220954e-12,64863.274153501,70.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-12,0.0,19155.028975178404,1.9662945300627297e-12,1.9662945300627297e-12,1.9662945300627297e-12,1.9662945300627297e-12,1.9662945300627297e-12,19155.028975178404,73.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-13,0.0,18291.44428162832,1.5660453770065975e-12,1.5660453770065975e-12,1.5660453770065975e-12,1.5660453770065975e-12,1.5660453770065975e-12,18291.44428162832,72.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-14,0.0,6427.288838631395,1.2196725136062162e-12,1.2196725136062162e-12,1.2196725136062162e-12,1.2196725136062162e-12,1.2196725136062162e-12,6427.288838631395,69.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-15,0.0,3856.0083012115515,8.786591508764152e-13,8.786591508764152e-13,8.786591508764152e-13,8.786591508764152e-13,8.786591508764152e-13,3856.0083012115515,60.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-16,0.0,14670.464268507947,1.034008068641898e-12,1.034008068641898e-12,1.034008068641898e-12,1.034008068641898e-12,1.034008068641898e-12,14670.464268507947,70.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-17,0.0,2226.769090086673,9.50515572463033e-13,9.50515572463033e-13,9.50515572463033e-13,9.50515572463033e-13,9.50515572463033e-13,2226.769090086673,63.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
