datetime,sma20_ma,sma200_ma,ema50_ma,rsi14_rsi,macd_macd,macd_macd_signal,macd_macd_hist,stoch_slow_k,stoch_slow_d,atr14_atr,bbands20_upper_band,bbands20_middle_band,bbands20_lower_band
2017-08-18,3486.80698,1909.89754,3102.56654,69.53363,426.58006,352.82621,73.75386,88.86668,90.90962,261.17821,4650.048906,3486.80698,2323.56506
2017-08-19,3558.63300,1926.014023,3145.35609,70.081174,418.17624,365.89621,52.28003,83.061974,87.46499,262.0018885,4710.13825,3558.63300,2407.12774
2017-08-20,3619.24899,1941.50721,3182.30918,65.98719,398.36745,372.39046,25.97699,75.84079,82.58981,252.31676,4747.90447,3619.24899,2490.59350
2017-08-21,3683.42299,1956.45691,3214.44372,62.78667,371.45394,372.20316,-0.74921987,69.53709,76.14662,242.90414,4743.75013,3683.42299,2623.095846
2017-08-22,3752.91549,1971.80996,3249.19181,64.89477,354.014642,368.56545,-14.55081,66.48305,70.62031,257.99525,4727.86220,3752.91549,2777.96878
2017-08-23,3820.25499,1987.35306,3284.57723,65.96675,340.38540,362.92944,-22.54404,67.10265,67.70759,252.23630,4705.88958,3820.25499,2934.62041
2017-08-24,3892.19451,2003.88976,3325.75774,69.56158,340.43925,358.43140,-17.99215,75.62196,69.73588,251.80016,4695.73911,3892.19451,3088.64990
2017-08-25,3948.12902,2020.55701,3366.77117,70.24387,339.54697,354.65452,-15.10755,81.64581,74.79014,244.41087,4721.044433,3948.12902,3175.21360
2017-08-26,4005.052014,2037.012259,3405.42327,69.37297,333.44677,350.41297,-16.96620,85.73333,81.00036661,234.79293,4718.71692,4005.052014,3291.38711
2017-08-27,4055.24901,2053.61131,3443.75491,70.0086636,327.29889,345.79015,-18.49126,86.038475,84.47254,225.11485,4725.61172,4055.24901,3384.88630
2017-08-28,4103.38502,2070.55269,3480.57472,69.99738,318.73476,340.37907,-21.64432,86.16828,85.98003,221.84165,4720.50247,4103.38502,3486.26757
2017-08-29,4165.21252,2088.50442,3523.65101,74.024883,324.056690,337.11460,-13.057906,89.97662,87.39446,225.53513,4708.34306,4165.21252,3622.081993
2017-08-30,4224.41351,2106.30867,3564.49998,73.28463,323.43885,334.37945,-10.94059,92.022439,89.38911,220.50475,4660.39021,4224.41351,3788.43682
2017-08-31,4277.052014,2124.82972,3609.16234,75.89715,330.28463,333.56048,-3.27585,95.19538,92.39815,218.086546,4675.83564,4277.052014,3878.26839
2017-09-01,4327.41700,2144.33656,3659.47008,78.92829,346.93079,336.23455,10.69624,96.83069,94.68284,217.75751,4767.56471,4327.41700,3887.26930
2017-09-02,4352.69250,2162.20766,3695.52106,64.43588,331.031235,335.19388,-4.16265,88.81721,93.61443,238.33196,4789.60338,4352.69250,3915.78163
2017-09-03,4365.58401,2180.085058,3730.32258,64.52970,315.13612,331.18233,-16.046207,79.79304,88.48032,242.48612,4813.55614,4365.58401,3917.61188
2017-09-04,4368.30300,2196.12941,3750.16523,52.24902,271.43841,319.23355,-47.79514,60.85795,76.48940,259.68211,4812.42693,4368.30300,3924.17908
2017-09-05,4368.29800,2212.78101,3774.72855,55.90462,245.29462,304.44576,-59.15115,50.59366,63.74822,271.82837,4812.42155,4368.29800,3924.17444
2017-09-06,4381.56951,2230.49451,3806.97920,60.96716,239.61315,291.47924,-51.86609,47.74862,53.066744,269.60636,4836.26180,4381.56951,3926.87721
2017-09-07,4403.53250,2248.25456,3838.073340,61.027445,232.65138,279.71367,-47.062284,53.88307,50.74178,262.042329,4855.84184,4403.53250,3951.22315
2017-09-08,4405.28499,2263.99841,3853.39399,49.87236,194.93991,262.75892,-67.81901,48.84075,50.15748,285.16931,4854.59037,4405.28499,3955.97960
2017-09-09,4412.20499,2279.55221,3868.0083489,49.80131,162.95776,242.79868,-79.84093,36.18000,46.30127,278.70793,4845.71504,4412.20499,3978.69495
2017-09-10,4418.26499,2294.57971,3878.0056663,47.034782,127.81734,219.80242,-91.98507,21.24301,35.42125,279.82878,4831.57192,4418.26499,4004.95806
2017-09-11,4421.30249,2309.55246,3889.11407,48.18695,101.88674,196.21928,-94.33254,20.21689,25.87997,271.43173,4826.027853,4421.30249,4016.57713
2017-09-12,4420.26699,2324.33811,3898.59235,47.30627,77.97979,172.57138,-94.59160,18.29101,19.91697,270.57446,4827.84396,4420.26699,4012.69002
2017-09-13,4397.66249,2338.031858,3897.96481,40.76754,38.55958,145.76902,-107.20944,15.30180,17.93657,275.68057,4867.16158,4397.66249,3928.16339
2017-09-14,4336.82998,2347.98061,3868.82697,28.38265,-50.80998,106.45322,-157.26320,8.47833,14.023715,310.75624,5054.017588,4336.82998,3619.64237
2017-09-15,4301.085986,2360.26836,3859.75611,41.15125,-81.75422,68.81173,-150.56596,13.98010,12.58674,344.76150,5080.19184,4301.085986,3521.98013
2017-09-16,4263.19399,2372.49371,3850.55156,40.94792,-106.062171,33.83695,-139.89912,24.16824,15.54222,343.067826,5094.65794,4263.19399,3431.73005
2017-09-17,4223.20498,2384.29561,3840.054628,40.22485,-127.26138,1.61729,-128.87866,36.51933,24.88923,334.21799,5103.34522,4223.20498,3343.064744
2017-09-18,4197.51398,2398.36656,3848.88386,50.90552,-103.94449,-19.49507,-84.44942,46.91464,35.86740,345.79886,5064.50820,4197.51398,3330.51976
2017-09-19,4165.49749,2411.61646,3851.86763,48.20846,-95.67816,-34.73169,-60.94647,53.14243,45.52547,337.18465,5023.041371,4165.49749,3307.95360
2017-09-20,4125.62548,2424.87046,3853.98850,47.83824,-89.62861,-45.71107,-43.91754,59.42400,53.16036,325.50431,4953.049002,4125.62548,3298.20195
