datetime,sma20_ma,sma200_ma,ema50_ma,rsi14_rsi,macd_macd,macd_macd_signal,macd_macd_hist,stoch_slow_k,stoch_slow_d,atr14_atr,bbands20_upper_band,bbands20_middle_band,bbands20_lower_band
2021-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,0,0,0,69.32312,0,0,0,0,0,26.86564,0,0,0
2021-09-15,0,0,0,69.24179,0,0,0,0,0,25.84217,0,0,0
2021-09-16,0,0,0,65.48443,0,0,0,0,0,25.11409,0,0,0
2021-09-17,0,0,0,62.94014,0,0,0,29.80918,40.31869,24.69029,0,0,0
2021-09-18,0,0,0,69.24275,0,0,0,28.80044,32.95692,24.88620,0,0,0
2021-09-19,156.66585,0,0,60.78041,0,0,0,27.37100,28.66021,24.56147,201.75032,156.66585,111.58138
2021-09-20,157.87825,0,0,52.37330,0,0,0,22.76152,26.31099,24.45444,198.80963,157.87825,116.94687
2021-09-21,158.55590,0,0,49.35844,0,0,0,11.18327,20.43860,24.75048,196.69443,158.55590,120.41737
2021-09-22,159.55080,0,0,57.039689,0,0,0,14.30355,16.082777,25.14302,195.45479,159.55080,123.64681
2021-09-23,159.72425,0,0,57.56600,0,0,0,27.39630,17.62770,24.020801,195.40848,159.72425,124.040021
2021-09-24,159.73820,0,0,53.41079,0,0,0,34.67517,25.45834,23.95839,195.39026,159.73820,124.086139
2021-09-25,159.43600,0,0,52.20353,0,0,0,34.18534,32.085604,22.99886,195.77475,159.43600,123.097251
2021-09-26,158.0085999,0,0,52.061744,0,0,0,31.39131,33.41727,22.48323,195.68775,158.0085999,120.32945
2021-09-27,156.15935,0,0,52.31762,0,0,0,33.54540,33.040683,21.96085,194.26338,156.15935,118.055321
2021-09-28,153.22175,0,0,50.48857,0,0,0,33.085678,32.67413,21.19608,189.11129,153.22175,117.33221
2021-09-29,150.59505,0,0,51.81448,0,0,0,33.49968,33.37692,20.32886,183.53458,150.59505,117.65552
2021-09-30,148.68840,0,0,54.42907,0,0,0,36.48209,34.35582,19.49865,179.041889,148.68840,118.33491
2021-10-01,147.81970,0,0,61.99507,0,0,0,54.13513,41.37230,20.017178,175.51706,147.81970,120.12234
2021-10-02,147.55870,0,0,64.27483,-2.17475,-0.43494927,0,72.49826,54.37183,19.93374,174.33721,147.55870,120.78019
2021-10-03,147.72425,0,0,65.51301,0.0096422442,-0.34603097,0.35567321,88.12462,71.58600,19.37468,175.085242,147.72425,120.36326
2021-10-04,148.15180,0,0,62.12678,1.24846,-0.027133260,1.27559,88.30797,82.97695,18.77371,176.43311,148.15180,119.87049
2021-10-05,148.45835,0,0,60.66609,2.00043618,0.37838063,1.62206,83.80758,86.74672,18.15173,177.30852,148.45835,119.60818
2021-10-06,148.55060,0,0,54.84719,1.71044,0.64479308,1.065650,71.24726,81.12094,17.94075,177.45777,148.55060,119.64342
2021-10-07,148.8875,0,0,55.034107,1.49821,0.81547646,0.68273354,62.15257,72.40247,17.45462,177.89854,148.8875,119.87646
2021-10-08,148.35095,0,0,56.97780,1.66410,0.98520087,0.67889763,57.98632,63.79539,17.38515,176.19601,148.35095,120.50589
2021-10-09,148.54810,0,0,55.82972,1.62083,1.11233,0.50849977,59.80089,59.97993,16.66821,176.57222,148.54810,120.52398
2021-10-10,149.30715,0,0,50.69974,0.84906632,1.059674,-0.21060760,54.43131,57.40617,16.37534,176.36419,149.30715,122.25011
2021-10-11,150.33945,0,0,49.16700,0.0081028991,0.84935971,-0.84125681,44.39167,52.87462,16.18046,174.96088,150.33945,125.71802
2021-10-12,150.55295,0,0,53.22971,-0.046191404,0.67024949,-0.71644089,39.60404,46.14234,16.16057,175.17105,150.55295,125.93486
2021-10-13,150.45450,0,0,50.68584,-0.44079572,0.44804045,-0.88883617,37.098848,40.36485,15.80010,175.095847,150.45450,125.81315
2021-10-14,150.98990,0,0,51.78125,-0.58929969,0.24057242,-0.82987211,36.10293,37.60194,15.26666,175.098798,150.98990,126.88100
2021-10-15,152.34580,0,0,58.50653,0.35557337,0.26357261,0.092000759,42.056736,38.41951,15.48604,176.0023627,152.34580,128.68924
2021-10-16,153.43590,0,0,54.96355,0.63925907,0.33870990,0.30054917,47.92690,42.028856,14.96183,175.91486,153.43590,130.95694
2021-10-17,154.61845,0,0,56.22366,1.053984,0.48176473,0.57221932,58.72888,49.57084,14.90434,175.84483,154.61845,133.39207
2021-10-18,155.85930,0,0,54.28863,1.13062,0.61153492,0.51908077,57.39355,54.68311,14.40774,174.45762,155.85930,137.26099
2021-10-19,156.88660,0,152.82626,53.44992,1.077736,0.70477518,0.37296103,60.23510,58.78584,13.82190,172.92318,156.88660,140.85002
2021-10-20,158.66345,0,153.76809,63.59085,2.69868,1.10356,1.59512,72.51198,63.38021,14.38591,175.26597,158.66345,142.060932
2021-10-21,160.10060,0,155.20844,68.41102,5.027102,1.88827,3.13884,83.78258,72.17655,14.60013,181.73730,160.10060,138.46390
2021-10-22,161.45855,0,156.81639,70.18965,7.24989,2.96059,4.28930,89.67747,81.99067,15.47576,188.020501,161.45855,134.89660
2021-10-23,162.68850,0,158.41994,70.65551,9.028118,4.17410,4.85402,82.24897,85.23634,15.34678,193.26846,162.68850,132.10854
2021-10-24,164.44570,0,160.14186,72.10588,10.68713,5.47670,5.21043,78.97584,83.63409,15.65430,199.55999,164.44570,129.33141
2021-10-25,166.69175,0,162.079202,74.24578,12.44070,6.86950,5.57120,83.21416,81.47965,16.024489,206.93600,166.69175,126.44750
2021-10-26,168.98770,0,163.55872,66.79815,12.89606,8.074814,4.82125,82.10965,81.43322,16.13517,211.23756,168.98770,126.73784
2021-10-27,170.50160,0,164.38379,57.15420,11.89261,8.83837,3.054234,71.67552,78.99978,16.80880,212.71050,170.50160,128.29270
2021-10-28,172.31165,0,165.58047,61.23626,11.79263,9.42922,2.36340,64.40695,72.73071,17.018957,215.43552,172.31165,129.18779
2021-10-29,174.49540,0,166.94747,63.26340,12.021846,9.94775,2.074098,63.58010,66.55419,16.55896,218.65960,174.49540,130.33120
2021-10-30,176.90535,0,168.084628,60.49953,11.70594,10.29939,1.40655,67.81195,65.26633,16.31061,220.21997,176.90535,133.59074
2021-10-31,179.79160,0,169.43935,63.083236,11.85830,10.61117,1.24713,70.66646,67.35284,16.54299,221.86750,179.79160,137.71570
2021-11-01,182.34870,0,170.78004,63.46703,11.92208,10.87335,1.048725,72.28220,70.25354,16.33806,223.68538,182.34870,141.012020
2021-11-02,186.0099510,0,172.76082,69.51398,13.24519,11.34772,1.89747,83.40370,75.45079,16.68984,227.52275,186.0099510,144.49715
2021-11-03,190.67485,0,175.52761,75.057725,15.88777,12.25573,3.63204,90.015095,81.90033,17.69528,235.77369,190.67485,145.57601
2021-11-04,194.87240,0,178.33775,75.88789,18.085997,13.42178,4.66421,96.19844,89.87241,17.56841,244.38544,194.87240,145.35936
2021-11-05,198.81250,0,180.61329,68.97767,18.73885,14.48520,4.25365,90.039527,92.084353,17.58645,248.36389,198.81250,149.26111
2021-11-06,203.73965,0,183.67194,74.18187,20.81132,15.75042,5.060903,91.12681,92.45492,18.11485,256.39988,203.73965,151.079426
2021-11-07,208.37440,0,186.26516,69.22858,21.49510,16.89936,4.59574,88.46540,89.87725,17.74950,260.10922,208.37440,156.63958
2021-11-08,213.0030006,0,188.70268,68.45916,21.67602,17.85469,3.82133,90.34426,89.97882,17.88439,261.58073,213.0030006,164.42527
2021-11-09,216.11300,0,190.67681,63.29873,20.82256,18.44826,2.37430,82.19044,87.000035219,17.71843,262.96611,216.11300,169.25989
2021-11-10,218.26945,0,192.36110,60.46384,19.48448,18.65551,0.82897097,75.19800,82.57757,18.66576,264.16845,218.26945,172.37045
2021-11-11,220.14330,0,193.98176,60.48565,18.21902,18.56821,-0.34918721,68.22887,75.20577,18.54221,265.34180,220.14330,174.94480
2021-11-12,221.68545,0,195.33738,57.64718,16.61008,18.17658,-1.56651,62.86524,68.76404,18.50119,265.80856,221.68545,177.56235
2021-11-13,223.65545,0,197.15666,62.50735,16.21153,17.78357,-1.57204,65.91901,65.67104,18.40511,267.66385,223.65545,179.64705
2021-11-14,225.11470,0,198.78694,60.79704,15.47522,17.32190,-1.84668,66.27928,65.021178,17.91653,269.090119,225.11470,181.13928
2021-11-15,227.031802,0,200.33055,60.45265,14.67572,16.79267,-2.11695,68.0047913,66.73436,17.49785,269.75204,227.031802,184.31156
2021-11-16,228.75975,0,201.068846,50.38753,12.36704,15.90754,-3.54050,46.28807,60.19071,17.94386,267.039678,228.75975,190.47982
2021-11-17,229.96285,0,201.77050,50.29446,10.40169,14.80637,-4.40468,30.36255,48.21847,17.55673,265.31050,229.96285,194.61520
2021-11-18,229.70460,0,201.51573,40.54742,6.85378,13.21585,-6.36207,13.22903,29.95988,18.87089,265.97471,229.70460,193.43449
2021-11-19,230.67605,0,202.059195,49.49241,5.59939,11.69256,-6.093169,22.79291,22.12816,19.70940,264.21524,230.67605,197.13686
2021-11-20,231.44070,0,202.68131,50.50934,4.75614,10.30528,-5.54914,31.18993,22.40396,19.38794,263.027889,231.44070,199.85351
2021-11-21,232.79115,0,203.77757,55.33909,5.055410,9.25530,-4.19989,49.31076,34.43120,19.77959,261.70248,232.79115,203.87983
2021-11-22,232.51325,0,204.24637,49.26876,4.043348,8.21291,-4.16956,50.82237,43.77435,19.82297,261.96327,232.51325,203.063235
2021-11-23,231.44325,0,204.93922,51.63845,3.69749,7.30983,-3.61233,55.52090,51.88467,19.49012,260.80073,231.44325,202.085774
2021-11-24,229.37005,0,204.96991,45.62682,2.092721,6.26641,-4.17369,44.11160,50.15162,19.66090,259.82360,229.37005,198.91650
2021-11-25,228.055001,0,205.16964,47.39497,1.15786,5.24470,-4.086836,42.60029,47.41093,19.28690,259.44402,228.055001,196.66598
2021-11-26,224.75345,0,204.67585,41.53601,-0.98258734,3.99924,-4.98183,28.56880,38.42690,19.88134,256.48173,224.75345,193.025175
2021-11-27,221.91950,0,204.22268,41.77628,-2.60514,2.67836,-5.28351,23.35221,31.50710,19.091670,254.31144,221.91950,189.52756
2021-11-28,219.54375,0,204.092656,45.25725,-3.22550,1.49759,-4.72309,20.45189,24.12430,19.24405,250.76056,219.54375,188.32694
2021-11-29,217.80065,0,204.096121,46.70010,-3.41361,0.51535009,-3.92896,28.85935,24.22115,18.80348,248.35379,217.80065,187.24751
2021-11-30,216.54955,0,204.27290,48.66845,-3.16925,-0.22157036,-2.94768,40.34223,29.88449,18.80258,246.45040,216.54955,186.64870
2021-12-01,216.36290,0,205.28004,56.93597,-1.23847,-0.42495098,-0.81352249,60.13669,43.11276,19.21140,245.87760,216.36290,186.84820
2021-12-02,216.62675,0,206.39953,58.24924,0.59723555,-0.22051368,0.81774923,74.87826,58.45239,19.50544,246.66228,216.62675,186.59122
