Date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,Inflation Rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply,circulating_total_ratio,price_to_circulating_supply
2025-02-13,4907349.347475981,87702.08565269121,0.004908029065376419,0.004908029065376419,0.004908029065376419,0.004908029065376419,0.004908029065376419,87702.08565269121,50.0,Neutral,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-14,4907349.347475981,87702.08565269121,0.004908029065376419,0.00522319,0.00522319,0.00479532,0.00490803,87702.08565269121,48.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-15,5117049.089007485,186109.26264530583,0.00512779341800396,0.00549792,0.00560812,0.00508536,0.00517524,186109.26264530583,50.0,Neutral,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-16,4630558.863688972,82404.79352159353,0.004519601364095654,0.00468261,0.00471079,0.0045196,0.0045196,82404.79352159353,54.0,Greed,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-17,2217122.4336832445,134740.30729376487,0.0022045790692085975,0.00449783,0.00587406,0.00210411,0.0021598,134740.30729376487,51.0,Greed,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-18,2909577.4739556783,123212.77588155308,0.0028916631256254697,0.00294502,0.00310083,0.00289166,0.00289392,123212.77588155308,47.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-19,2838137.914163842,61395.969792181684,0.0028260122193408694,0.00286188,0.00288724,0.00278379,0.00283644,61395.969792181684,44.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-20,2157931.853627659,65348.49520461199,0.0021579431116547387,0.00210912,0.00216528,0.00197951,0.00215467,65348.49520461199,49.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-21,2758448.184556415,40660.38167348167,0.0027739903400775022,0.00215626,0.0041638,0.00186031,0.00275964,40660.38167348167,55.0,Greed,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-22,2212623.672128624,26937.948442646484,0.0022125270962739607,0.00223384,0.0022552,0.00217629,0.00221253,26937.948442646484,49.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-23,2549619.3288114574,21026.520011903653,0.0025496326302896287,0.00259139,0.00260714,0.0025366,0.00254963,21026.520011903653,50.0,Neutral,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-24,2037015.7050004723,36779.75292430569,0.0020388751398530305,0.00205949,0.0021434,0.00203639,0.00203888,36779.75292430569,49.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-25,2148734.3618197883,31641.89289755861,0.0021487455718631416,0.00277715,0.00308334,0.0019737,0.00214875,31641.89289755861,25.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-26,1779450.5217387374,43820.61127164912,0.0017697371229067151,0.00170669,0.00178973,0.00154212,0.00177648,43820.61127164912,21.0,Extreme Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
