Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2019-01-01,0.04057,0.042,0.03964,0.04198,109890339.6,4478712.30663,18359.0,57006989.6,2326308.851828,109890339.6,4123639.600000009,0.04193,61.97754210854647,2.3195274699624457,252.561,12.0,Extreme Fear
2019-01-02,0.04195,0.04543,0.04117,0.04433,161683682.2,6964798.028115,26840.0,83201710.0,3587448.322902,161683682.2,4719737.800000012,0.04432,65.625,2.3195274699624457,252.561,12.0,Extreme Fear
2019-01-03,0.04432,0.04462,0.04154,0.04205,153417510.5,6573566.387859,25088.0,73130836.5,3132512.998759,153417510.5,-7155837.5,0.04201,55.19563822963438,2.3195274699624457,252.561,10.0,Extreme Fear
2019-01-04,0.04207,0.04361,0.04164,0.04301,101638583.7,4330311.302379,18607.0,53220189.4,2269969.474108,101638583.7,4801795.099999994,0.04304,54.420880913539975,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-05,0.04301,0.04514,0.04241,0.04403,166586601.8,7288135.685872,27627.0,82486693.6,3611702.757342,166586601.8,-1613214.6000000238,0.04397,54.03093122737743,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-06,0.044,0.0488,0.04378,0.04822,282745808.9,13182349.327877,46050.0,142752440.1,6659542.173154,282745808.9,2759071.300000012,0.04822,56.949152542372886,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-07,0.04822,0.05,0.04651,0.04755,266672497.4,12916895.51243,46094.0,138983720.9,6740020.431899,266672497.4,11294944.400000006,0.04755,53.99120050282842,2.3195274699624457,252.561,19.0,Extreme Fear
2019-01-08,0.04757,0.0497,0.04612,0.0478,203734040.4,9749279.984393,38907.0,103908842.4,4975008.985024,203734040.4,4083644.400000006,0.0478,62.22777579435916,2.3195274699624457,252.561,22.0,Extreme Fear
2019-01-09,0.04781,0.05231,0.04771,0.05144,264448222.3,13323012.390167,43017.0,142279685.6,7162245.591318,264448222.3,20111148.899999976,0.05144,67.42399999999999,2.3195274699624457,252.561,27.0,Fear
2019-01-10,0.05144,0.05412,0.04131,0.04366,467704306.4,21777697.773199,73379.0,229438294.5,10705131.755718,467704306.4,-8827717.399999976,0.04365,60.895953757225435,2.3195274699624457,252.561,31.0,Fear
2019-01-11,0.04365,0.04435,0.04163,0.0433,239944262.2,10363742.179854,45851.0,122918946.7,5312191.096466,239944262.2,5893631.200000018,0.04331,53.643048128342244,2.3195274699624457,252.561,30.0,Fear
2019-01-12,0.04327,0.04393,0.04187,0.04288,110531249.1,4728969.068439,23693.0,58616403.1,2509536.093122,110531249.1,6701557.100000009,0.04285,54.05860559110812,2.3195274699624457,252.561,30.0,Fear
2019-01-13,0.04288,0.04312,0.0388,0.03944,150190137.8,6104853.612859,25762.0,72033135.6,2933162.777325,150190137.8,-6123866.600000024,0.03943,44.89664082687338,2.3195274699624457,252.561,30.0,Fear
2019-01-14,0.03944,0.04399,0.03939,0.04343,189791994.0,7914002.566906,30697.0,94713119.5,3947231.141954,189791994.0,-365755.0,0.04341,54.39610587161545,2.3195274699624457,252.561,28.0,Fear
2019-01-15,0.04341,0.04387,0.04101,0.04201,153740822.5,6532255.444561,27649.0,74703267.4,3179169.021677,153740822.5,-4334287.699999988,0.04204,50.16752969844654,2.3195274699624457,252.561,31.0,Fear
