Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,Fear_And_Greed_Index,classification
2017-08-17,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,17.0,Extreme Fear
2017-08-18,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,17.0,Extreme Fear
2017-08-19,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,17.0,Extreme Fear
2017-08-20,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,17.0,Extreme Fear
2017-08-21,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,15.0,Extreme Fear
2017-08-22,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,23.0,Extreme Fear
2017-08-23,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,19.0,Extreme Fear
2017-08-24,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,22.0,Extreme Fear
2017-08-25,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,29.0,Fear
2017-08-26,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,29.0,Fear
2017-08-27,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,29.0,Fear
2017-08-28,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,35.0,Fear
2017-08-29,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,29.0,Fear
2017-08-30,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,34.0,Fear
2017-08-31,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,43.0,Fear
2017-09-01,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,49.0,Fear
2017-09-02,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,49.0,Fear
2017-09-03,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,49.0,Fear
2017-09-04,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,49.0,Fear
2017-09-05,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,62.0,Greed
2017-09-06,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,41.0,Fear
2017-09-07,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,38.0,Fear
2017-09-08,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,38.0,Fear
2017-09-09,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,38.0,Fear
2017-09-10,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971.0,8566428.04,63115467.288074,17974526.96,-841670.8800000027,7.367,100.0,3.322200208829762,298.708,38.0,Fear
