<<<<<<< HEAD
Date,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close,RSI,Inflation Rate,CPI,value,classification
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844,114799747.44197056,105595,3961.938946,52809747.44038045,8609.915844,-686.0379519999988,13400.89,29.684324546608565,2.0023809043401064,248.859,53.0,Greed
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111,279717107.4337192,177728,11346.326739,158080088.68331683,20078.092111,2614.5613669999984,14680.72,40.09654660795877,2.0023809043401064,248.859,67.0,Greed
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.667639,236116868.33619007,162787,8994.953566,133587333.24534808,15905.667639,2084.239493000001,14913.26,43.804616514966305,2.0023809043401064,248.859,67.0,Greed
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.649574,312781583.79830784,170310,12680.812951,186116793.0115893,21329.649574,4031.9763280000006,15079.74,48.39116503610031,2.0023809043401064,248.859,72.0,Greed
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.491125,369321956.4868375,192969,13346.622293,211829900.67898223,23251.491125,3441.7534610000002,16980.57,65.85964701488055,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508,309216920.9864104,158242,11007.164056,183417769.0623772,18571.457508,3442.8706039999997,17085.79,66.31369158272449,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558,206194706.37068355,120269,6779.320508,112151163.1274352,12493.125558,1065.5154579999999,16150.91,60.76479440962462,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.609912,396569997.15746266,208642,13756.844389,206049582.13668823,26600.609912,913.0788659999998,14903.5,54.506207767868105,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.004253,210630187.45766863,156656,6841.233287,100698572.9000214,14315.004253,-632.5376789999991,14390.57,44.498111682307915,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.001655,244011366.763028,161476,8529.554675,119570139.80645348,17411.001655,-351.8923050000012,14880.17,47.65703022989777,2.0023809043401064,248.859,75.0,Extreme Greed
