Date,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close,RSI,Inflation Rate,CPI,value,classification
2018-01-01,733.01,763.55,716.8,754.99,53909.25885,40049370.5949261,75314,27993.21701,20800946.8231706,53909.25885,2077.1751700000023,754.74,47.1132864280616,2.0023809043401064,248.859,53.0,Greed
2018-01-02,754.99,899.5,749.06,855.28,113257.78355,95749946.0604656,142511,59298.38305,50193115.7271776,113257.78355,5338.982550000001,855.59,54.91167675081717,2.0023809043401064,248.859,67.0,Greed
2018-01-03,855.13,950.01,810.0,934.03,89041.45688,78173093.7121992,118866,46899.16696,41196862.5515844,89041.45688,4756.877040000007,931.48,60.40214642570777,2.0023809043401064,248.859,67.0,Greed
2018-01-04,934.03,1009.72,890.01,940.0,102894.47384,97740086.5903057,132633,56497.66029,53871687.7728847,102894.47384,10100.846739999994,938.86,62.31069476971117,2.0023809043401064,248.859,72.0,Greed
2018-01-05,940.0,1045.0,930.0,959.3,97374.0163,95739901.4760194,124438,46202.53716,45538935.0137935,97374.0163,-4968.941980000003,965.35,81.3607600986446,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-06,958.0,1017.56,950.0,1004.11,71954.27895,71196052.3406679,91685,37424.43173,37089109.9630939,71954.27895,2894.584509999986,1003.28,82.51309276131718,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-07,1003.71,1125.0,999.9,1123.09,65278.81957,70126945.1735654,89192,34849.04095,37476141.639477,65278.81957,4419.262330000005,1114.25,85.03522477859808,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-08,1123.09,1239.18,910.0,1133.18,158831.54798,176599793.2112688,171664,80909.60102,90225877.051448,158831.54798,2987.6540600000008,1128.79,83.99986871687153,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-09,1133.18,1326.5,1104.85,1291.0,118702.88684,143246762.0845697,152628,63819.94883,77223073.2593113,118702.88684,8937.010819999996,1287.24,86.6728632157356,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-10,1291.0,1440.0,1201.1,1247.0,160185.0129,210902815.468832,191352,80897.55541,106746349.5962319,160185.0129,1610.0979200000002,1245.47,83.14189809351481,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-11,1249.03,1332.49,1021.0,1138.93,194546.29387,230792205.8753742,210914,90313.17614,107408785.9609798,194546.29387,-13919.941590000002,1134.39,75.37653198292976,2.0023809043401064,248.859,77.0,Extreme Greed
2018-01-12,1136.45,1288.5,1069.01,1253.87,93763.47261,113367281.7651159,117851,47727.57553,57769541.83741,93763.47261,1691.6784500000067,1253.08,77.79564359831919,2.0023809043401064,248.859,79.0,Extreme Greed
2018-01-13,1253.87,1427.01,1252.0,1388.02,75893.43201,101824625.2584041,115872,40759.98465,54700348.3927376,75893.43201,5626.537289999993,1384.84,84.87157915573812,2.0023809043401064,248.859,79.0,Extreme Greed
2018-01-14,1388.1,1391.89,1220.89,1347.0,98391.19585,128517479.7160451,124920,49243.39136,64308202.7723454,98391.19585,95.58686999999918,1343.58,80.51867240739068,2.0023809043401064,248.859,79.0,Extreme Greed
2018-01-15,1347.99,1383.13,1258.12,1271.0,69236.70476,90732886.2410553,105410,32880.54134,43133689.3977902,69236.70476,-3475.6220799999865,1267.13,74.31823143586678,2.0023809043401064,248.859,79.0,Extreme Greed
2018-01-16,1268.67,1275.01,780.0,1000.0,343889.36509,355819297.4570526,304696,158932.38241,165083928.9477661,343889.36509,-26024.600269999995,1004.41,56.122365021639325,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-17,999.99,1075.51,755.0,1000.0,436333.67326,398063123.6629532,391331,215412.88029,196978642.4324564,436333.67326,-5507.912680000009,1005.96,53.26368926593283,2.0023809043401064,248.859,75.0,Extreme Greed
2018-01-18,1000.0,1075.2,924.21,994.0,294545.71207,296964713.70633006,278162,148139.9152,149318397.0976687,294545.71207,1734.1183299999684,993.7,52.39283719631388,2.0023809043401064,248.859,72.0,Greed
2018-01-19,993.3,1079.0,941.0,1032.5,167954.11253,171217738.3162249,171662,87251.7821,89102808.3026231,167954.11253,6549.45166999998,1033.87,52.954467057606074,2.0023809043401064,248.859,80.0,Extreme Greed
2018-01-20,1032.5,1165.4,1031.0,1152.75,123352.58362,137333158.1283754,139129,59469.5144,66105659.5594806,123352.58362,-4413.554820000005,1150.91,55.95902188567139,2.0023809043401064,248.859,80.0,Extreme Greed
2018-01-21,1150.37,1152.69,998.0,1049.0,175031.00789,186353755.5731615,189013,84495.91903,90104698.1508604,175031.00789,-6039.169829999999,1047.58,47.292192970342875,2.0023809043401064,248.859,80.0,Extreme Greed
2018-01-22,1049.0,1090.15,908.0,993.0,185212.52002,185276703.3811457,200594,85196.91919,85315603.8656553,185212.52002,-14818.681639999995,993.03,44.65965950215565,2.0023809043401064,248.859,78.0,Extreme Greed
2018-01-23,993.0,1030.0,909.0,980.0,160159.63958,156053774.3099319,188114,77990.7803,76164110.4313036,160159.63958,-4178.078979999991,982.05,36.41922019205952,2.0023809043401064,248.859,78.0,Extreme Greed
2018-01-24,981.2,1074.0,953.09,1061.0,134257.7947,135793371.3035906,164024,65704.16239,66618089.3535422,134257.7947,-2849.469920000003,1061.15,42.06160525091737,2.0023809043401064,248.859,78.0,Extreme Greed
2018-01-25,1060.34,1115.0,1030.26,1056.52,119415.93495,127855243.1699191,140455,51616.93186,55173677.0704642,119415.93495,-16182.071230000001,1056.18,46.292767554961465,2.0023809043401064,248.859,77.0,Extreme Greed
2018-01-26,1055.29,1082.0,986.0,1051.03,145113.638,150237011.3005197,168271,65457.65737,67827452.978534,145113.638,-14198.323260000005,1050.18,39.23196127963998,2.0023809043401064,248.859,79.0,Extreme Greed
2018-01-27,1051.03,1127.99,1032.2,1118.99,96894.33839,105043056.376824,130125,45766.53699,49629825.8915159,96894.33839,-5361.264410000003,1118.86,34.87133984028395,2.0023809043401064,248.859,79.0,Extreme Greed
2018-01-28,1118.99,1277.0,1112.0,1251.96,143510.73586,173283524.8751675,191653,75218.37986,90855763.2896522,143510.73586,6926.023860000016,1249.78,45.15855974894707,2.0023809043401064,248.859,79.0,Extreme Greed
2018-01-29,1251.96,1258.89,1161.65,1177.01,105292.76808,126282956.2386049,172601,48840.57937,58534935.1906222,105292.76808,-7611.609339999995,1175.74,45.27118626527718,2.0023809043401064,248.859,62.0,Greed
2018-01-30,1177.01,1186.85,1051.0,1085.5,155278.55404,173857602.7647266,257484,69602.77847,78061183.2582835,155278.55404,-16072.997099999979,1083.97,55.001508750754375,2.0023809043401064,248.859,61.0,Greed
2018-01-31,1084.63,1135.0,1029.0,1124.81,100372.03783,109226169.403087,191394,50640.76647,55078099.4151502,100372.03783,909.4951100000035,1126.45,57.20384077293762,2.0023809043401064,248.859,61.0,Greed
2018-02-01,1125.96,1164.99,981.0,1041.94,203355.29052,220810878.73135087,343466,103607.53527,112587064.5023398,203355.29052,3859.7800199999765,1044.11,52.780873153347954,2.0023809043401064,249.529,58.0,Greed
2018-02-02,1041.89,1047.2,783.67,922.3,377375.22874,348077470.8172215,501434,181803.82775,167889492.1872215,377375.22874,-13767.573239999998,924.55,44.45503976627172,2.0023809043401064,249.529,17.0,Extreme Fear
2018-02-03,923.67,998.0,851.0,971.0,160037.88129,150132852.1698307,277958,81177.46937,76165426.970837,160037.88129,2317.057450000022,970.95,40.167409738613514,2.0023809043401064,249.529,17.0,Extreme Fear
