Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2025-01-21,0.1821,0.1948,0.1673,0.1914,17172357.4,3075439.36094,33142.0,8344932.1,1492812.66206,17172357.4,-482493.19999999925,0.1914,46.7391304347826,,,76.0,Extreme Greed
2025-01-22,0.1911,0.2102,0.1837,0.1851,22551278.2,4481228.28262,37983.0,10638798.5,2117150.92825,22551278.2,-1273681.1999999993,0.1851,49.9515972894482,,,84.0,Extreme Greed
2025-01-23,0.1852,0.1864,0.1751,0.1807,13122589.2,2376556.57797,21160.0,6525979.1,1182255.98062,13122589.2,-70631.0,0.1807,48.40525328330206,,,75.0,Extreme Greed
2025-01-24,0.1808,0.182,0.1616,0.1628,10791293.9,1870752.5523,15205.0,5640975.7,980151.9392,10791293.9,490657.5,0.1627,39.2173189009159,,,75.0,Extreme Greed
2025-01-25,0.1626,0.1691,0.1597,0.1637,6876718.5,1128048.10177,10449.0,3609825.2,592380.29089,6876718.5,342931.9000000004,0.1636,39.93344425956738,,,75.0,Extreme Greed
2025-01-26,0.1637,0.1703,0.1619,0.1622,4403113.0,732937.41043,7687.0,2144308.8,357185.75003,4403113.0,-114495.40000000037,0.1621,40.81632653061223,,,73.0,Greed
2025-01-27,0.162,0.1629,0.1366,0.1511,31841550.9,4656743.14675,36652.0,15663297.5,2295682.02378,31841550.9,-514955.8999999985,0.1511,39.63666391412056,,,71.0,Greed
2025-01-28,0.1511,0.1529,0.1325,0.1336,14250837.9,2041392.76313,16546.0,7201559.8,1037848.76513,14250837.9,152281.69999999925,0.1337,30.384615384615373,,,72.0,Greed
2025-01-29,0.1334,0.1505,0.1322,0.1473,24120332.5,3421501.67445,27475.0,12522180.6,1777864.87704,24120332.5,924028.6999999993,0.1474,32.31114435302915,,,72.0,Greed
2025-01-30,0.1474,0.1612,0.1434,0.1507,23191444.8,3519852.21548,26302.0,12099282.2,1833927.98943,23191444.8,1007119.5999999978,0.1507,33.74816983894581,,,70.0,Greed
2025-01-31,0.1508,0.1566,0.1477,0.1495,9007107.4,1370146.77666,13928.0,4494052.2,684437.23845,9007107.4,-19003.0,0.1496,22.895622895622864,,,76.0,Extreme Greed
2025-02-01,0.1495,0.1542,0.1343,0.1353,7426293.3,1079815.77104,12382.0,3291184.5,478220.918,7426293.3,-843924.2999999998,0.1354,22.761506276150598,,,68.0,Greed
2025-02-02,0.1354,0.139,0.1087,0.1154,38740633.6,4703996.13125,40701.0,17351347.7,2106405.78604,38740633.6,-4037938.200000003,0.1153,20.65299924069855,,,60.0,Greed
2025-02-03,0.1154,0.1226,0.0806,0.1202,86081182.9,8515917.69275,90547.0,42623152.8,4222958.85182,86081182.9,-834877.3000000119,0.1202,25.455987311657395,,,44.0,Fear
2025-02-04,0.1202,0.1221,0.1079,0.1128,32889800.7,3731693.33587,30812.0,15902348.0,1807640.86819,32889800.7,-1085104.6999999993,0.1128,18.357487922705303,,,72.0,Greed
2025-02-05,0.1127,0.1141,0.1021,0.104,28864066.2,3104656.78196,30785.0,14117230.4,1519111.50583,28864066.2,-629605.3999999985,0.104,17.995264404104176,,,54.0,Greed
2025-02-06,0.1041,0.1058,0.0966,0.0982,25119366.3,2540246.1597,24247.0,12031278.6,1217769.3569,25119366.3,-1056809.1000000015,0.09818,17.795816422104267,,,49.0,Fear
2025-02-07,0.0982,0.1093,0.0958,0.0997,24919832.2,2543600.78243,27596.0,12324472.7,1262369.60168,24919832.2,-270886.80000000075,0.09962,21.72821799928289,,,44.0,Fear
