Date,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close,RSI,Inflation Rate,CPI,value,classification
2019-01-01,29.92,31.8,29.56,31.48,103182.73765,3162741.4467664,15380.0,51536.47693,1580225.4944965,103182.73765,-109.78379000000132,31.49,52.98935298935298,2.3195274699624457,252.561,12.0,Extreme Fear
2019-01-02,31.47,33.29,31.07,32.67,118306.23317,3805773.1198366,19940.0,57712.88911,1856254.405366,118306.23317,-2880.454950000014,32.7,57.660961695191524,2.3195274699624457,252.561,12.0,Extreme Fear
2019-01-03,32.68,32.8,30.62,31.39,94129.85114,2982980.2248225,15402.0,44255.99834,1402726.4399904,94129.85114,-5617.854460000002,31.38,47.97867614393603,2.3195274699624457,252.561,10.0,Extreme Fear
2019-01-04,31.41,32.53,30.78,31.76,108636.82193,3437486.3851984,17016.0,53812.09229,1704444.6973857,108636.82193,-1012.6373500000045,31.84,53.51711026615969,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-05,31.76,35.95,31.76,34.33,335581.55848,11471296.9699548,46999.0,162070.2791,5536072.446455,335581.55848,-11441.000279999978,34.35,56.417112299465245,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-06,34.33,39.71,33.89,38.3,761396.10676,28298586.9009635,82109.0,367592.50496,13657746.5602398,761396.10676,-26211.096840000013,38.38,60.69131832797427,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-07,38.29,39.04,36.53,37.35,444975.92431,16797767.6556064,51871.0,215312.84438,8126842.7646142,444975.92431,-14350.235549999983,37.32,58.869395711500964,2.3195274699624457,252.561,19.0,Extreme Fear
2019-01-08,37.35,40.8,36.91,38.7,522510.17142,20322945.3312497,56171.0,265768.71886,10335736.2398965,522510.17142,9027.266300000018,38.74,66.50563607085346,2.3195274699624457,252.561,22.0,Extreme Fear
2019-01-09,38.7,39.72,38.0,38.17,312030.13021,12104357.4442312,36311.0,161018.18508,6250240.8850986,312030.13021,10006.239950000017,38.13,65.32226176354291,2.3195274699624457,252.561,27.0,Fear
2019-01-10,38.17,38.77,31.0,32.81,584622.4539,19980421.46609,66419.0,283539.60377,9665526.7716598,584622.4539,-17543.24635999999,32.83,59.275206315034076,2.3195274699624457,252.561,31.0,Fear
2019-01-11,32.81,33.22,29.68,31.49,351182.38165,11268415.5174647,45405.0,164016.25746,5262239.5740466,351182.38165,-23149.86673000001,31.5,49.34079105073912,2.3195274699624457,252.561,30.0,Fear
2019-01-12,31.48,32.13,31.07,31.65,178476.28718,5640569.2458151,25298.0,85982.1549,2715970.3214217,178476.28718,-6511.977380000026,31.66,52.94117647058823,2.3195274699624457,252.561,30.0,Fear
2019-01-13,31.65,32.63,29.12,29.59,229264.11927,7075842.0712984,29004.0,108286.15808,3337666.1041313,229264.11927,-12691.803110000008,29.62,46.41693811074919,2.3195274699624457,252.561,30.0,Fear
2019-01-14,29.6,32.5,29.38,31.71,255282.35801,7925720.2735823,28964.0,124636.60217,3876580.4075901,255282.35801,-6009.15367,31.69,53.601273378432154,2.3195274699624457,252.561,28.0,Fear
2019-01-15,31.72,32.27,29.95,30.75,216841.86085,6784015.4244266,29057.0,109085.19055,3417494.3560669,216841.86085,1328.5202500000014,30.79,48.566748566748565,2.3195274699624457,252.561,31.0,Fear
2019-01-16,30.74,31.93,30.47,31.29,153939.59622,4789334.1418824,21559.0,76981.80401,2395766.9138333,153939.59622,24.011800000007497,31.26,46.95945945945946,2.3195274699624457,252.561,36.0,Fear
2019-01-17,31.29,31.55,29.8,31.4,203218.00286,6238519.8934698,25914.0,101306.91483,3112108.2058474,203218.00286,-604.1732000000193,31.41,50.06663705019992,2.3195274699624457,252.561,44.0,Fear
2019-01-18,31.38,31.53,30.31,30.77,150711.34444,4659547.3864997,18620.0,71433.46977,2211556.1508159,150711.34444,-7844.404899999994,30.76,47.62114537444935,2.3195274699624457,252.561,51.0,Greed
2019-01-19,30.78,32.92,30.77,32.0,164989.63668,5273505.545043,21151.0,81583.84722,2604779.9425284,164989.63668,-1821.942240000004,32.0,44.517032197853474,2.3195274699624457,252.561,51.0,Greed
2019-01-20,31.94,33.2,28.45,30.64,249450.00408,7815412.7300217,29614.0,118376.33534,3702514.2273639,249450.00408,-12697.333399999989,30.59,29.292929292929287,2.3195274699624457,252.561,51.0,Greed
2019-01-21,30.63,31.22,30.34,30.82,110305.75866,3392716.0542585,15290.0,57897.38931,1781488.5193431,110305.75866,5489.0199599999905,30.84,32.0,2.3195274699624457,252.561,51.0,Greed
2019-01-22,30.82,32.0,29.48,31.41,199887.16257,6183272.8098907,23765.0,104259.51589,3229177.0939101,199887.16257,8631.869210000004,31.41,28.62973760932944,2.3195274699624457,252.561,51.0,Greed
2019-01-23,31.4,32.18,31.24,31.69,123577.27232,3920165.8017895,15638.0,55969.58357,1775217.9658034,123577.27232,-11638.105179999999,31.67,30.773809523809533,2.3195274699624457,252.561,55.0,Greed
2019-01-24,31.69,33.1,30.89,32.51,138812.16216,4453091.2945143,16597.0,65904.78192,2111888.6974578,138812.16216,-7002.598320000019,32.5,48.66180048661801,2.3195274699624457,252.561,58.0,Greed
2019-01-25,32.52,33.0,31.87,32.69,169242.53382,5485967.9294638,18027.0,79804.3117,2587125.366859,169242.53382,-9633.91042,32.69,55.317247542448605,2.3195274699624457,252.561,58.0,Greed
2019-01-26,32.68,33.95,32.57,32.8,166677.42808,5537195.8890435,20495.0,78798.19408,2618744.9595293,166677.42808,-9081.03992000001,32.82,55.19713261648746,2.3195274699624457,252.561,58.0,Greed
2019-01-27,32.79,33.2,31.05,32.21,173697.81998,5628213.3201342,21480.0,78035.93823,2532572.9307587,173697.81998,-17625.94352,32.26,63.63636363636361,2.3195274699624457,252.561,58.0,Greed
2019-01-28,32.22,32.53,30.0,30.94,267887.62942,8275485.9723247,30657.0,118041.161,3650598.0991317,267887.62942,-31805.307420000026,30.93,45.74944071588366,2.3195274699624457,252.561,55.0,Greed
2019-01-29,30.94,31.26,29.91,30.81,135879.8588,4168438.6557358,17933.0,60670.88176,1862431.7774867,135879.8588,-14538.095280000001,30.83,50.24570024570024,2.3195274699624457,252.561,55.0,Greed
2019-01-30,30.8,31.97,30.47,31.68,129114.99705,4046024.3723204,15154.0,66041.95139,2068683.6245773,129114.99705,2968.9057299999986,31.68,52.46478873239437,2.3195274699624457,252.561,58.0,Greed
2019-01-31,31.68,32.33,31.08,31.41,154708.17427,4881672.9566493,17825.0,81796.9945,2580248.9920298,154708.17427,8885.814730000013,31.39,49.88452655889146,2.3195274699624457,252.561,58.0,Greed
2019-02-01,31.43,33.64,30.7,32.65,335544.96445,10864529.5873272,28955.0,164337.34403,5321610.9867904,335544.96445,-6870.276390000014,32.63,60.108108108108105,2.3195274699624457,253.319,61.0,Greed
2019-02-02,32.61,35.01,32.44,34.59,268052.52354,8939273.973636,27690.0,133427.23382,4451498.8407712,268052.52354,-1198.0559000000358,34.58,62.95180722891565,2.3195274699624457,253.319,61.0,Greed
2019-02-03,34.59,34.89,32.86,33.44,348406.73224,11802330.6146259,32651.0,168185.05465,5696095.0475279,348406.73224,-12036.622939999972,33.44,64.70588235294116,2.3195274699624457,253.319,61.0,Greed
2019-02-04,33.43,34.5,33.36,34.09,206649.66902,7014206.2681502,20549.0,108962.09483,3699076.3754122,206649.66902,11274.520640000002,34.1,66.13861386138615,2.3195274699624457,253.319,62.0,Greed
2019-02-05,34.08,34.54,33.63,34.34,214319.34235,7321284.8808597,19416.0,104569.87802,3573067.0954449,214319.34235,-5179.586309999984,34.3,64.85097636176772,2.3195274699624457,253.319,64.0,Greed
2019-02-06,34.35,34.5,32.25,32.79,312456.54201,10273847.9600226,30232.0,149431.38343,4907408.3859695,312456.54201,-13593.775150000001,32.8,55.150410209662695,2.3195274699624457,253.319,63.0,Greed
2019-02-07,32.78,33.61,32.73,33.24,144528.08084,4798854.8184626,14240.0,61439.70984,2040173.0927607,144528.08084,-21648.66116000001,33.22,53.409090909090914,2.3195274699624457,253.319,63.0,Greed
2019-02-08,33.23,44.85,32.75,42.99,1237384.07012,48819159.693489,119267.0,616199.16873,24347341.8508127,1237384.07012,-4985.73265999998,43.06,75.65561603166749,2.3195274699624457,253.319,63.0,Greed
2019-02-09,42.99,46.95,42.05,44.68,993529.35851,43845377.3617417,105794.0,506453.06114,22384935.9280144,993529.35851,19376.76376999996,44.69,77.33763242745279,2.3195274699624457,253.319,63.0,Greed
2019-02-10,44.68,47.59,42.0,46.79,667594.46229,30084786.2181325,74650.0,329432.89923,14843447.3569699,667594.46229,-8728.663830000092,46.79,81.24731182795699,2.3195274699624457,253.319,63.0,Greed
2019-02-11,46.8,46.87,41.81,42.9,570398.48991,25000654.7153878,62358.0,281744.28623,12346897.0170934,570398.48991,-6909.91744999995,42.87,73.10371517027863,2.3195274699624457,253.319,62.0,Greed
2019-02-12,42.88,44.57,41.84,43.89,326731.55801,14181167.7324087,42437.0,166811.67841,7247992.5251688,326731.55801,6891.7988100000075,43.9,74.41165483750467,2.3195274699624457,253.319,67.0,Greed
2019-02-13,43.89,44.66,40.64,41.61,333914.84326,14169773.6990322,40220.0,154635.64726,6572223.2396216,333914.84326,-24643.54874,41.63,67.6481021638879,2.3195274699624457,253.319,65.0,Greed
2019-02-14,41.61,42.45,40.31,41.26,285144.93739,11825040.1861124,32595.0,137002.03137,5682055.8504704,285144.93739,-11140.874649999954,41.26,67.4566678457729,2.3195274699624457,253.319,67.0,Greed
2019-02-15,41.26,44.6,41.06,42.58,389950.95213,16519445.9920431,45476.0,186526.92591,7905737.6882559,389950.95213,-16897.10031000001,42.58,67.5485008818342,2.3195274699624457,253.319,67.0,Greed
2019-02-16,42.6,44.37,42.28,43.34,326691.70793,14225774.1208697,45174.0,163746.11257,7132166.6269821,326691.70793,800.51721000002,43.34,66.12665684830634,2.3195274699624457,253.319,67.0,Greed
2019-02-17,43.34,45.13,42.6,43.91,331698.79603,14459368.8381966,43221.0,164544.69037,7171348.1619822,331698.79603,-2609.4152900000336,43.92,69.69924812030075,2.3195274699624457,253.319,67.0,Greed
2019-02-18,43.89,49.03,43.62,47.84,744029.87121,34349598.9758269,101066.0,377479.54248,17422738.5563971,744029.87121,10929.213749999995,47.83,72.99832495812394,2.3195274699624457,253.319,67.0,Greed
2019-02-19,47.81,49.1,46.56,47.14,404786.75784,19350985.317177,63504.0,194305.32904,9291828.1074618,404786.75784,-16176.099759999954,47.24,71.39550264550266,2.3195274699624457,253.319,69.0,Greed
2019-02-20,47.16,52.21,46.25,51.5,566874.12073,28402239.4220076,76226.0,282893.19253,14165186.390517,566874.12073,-1087.7356699999655,51.51,78.33989700090882,2.3195274699624457,253.319,70.0,Greed
2019-02-21,51.47,51.65,47.35,48.94,383781.90032,18972966.8701831,51554.0,193159.07734,9550580.8968172,383781.90032,2536.2543599999626,48.94,72.35494880546075,2.3195274699624457,253.319,70.0,Greed
2019-02-22,48.93,49.97,48.08,49.19,265979.43489,13079846.878828,44082.0,126455.12527,6221387.8284687,265979.43489,-13069.184349999952,49.25,62.07569254779555,2.3195274699624457,253.319,69.0,Greed
2019-02-23,49.22,51.88,48.0,51.4,411115.3383,20597303.0431109,58429.0,219383.75505,10998727.6815936,411115.3383,27652.17180000001,51.36,62.77288395250862,2.3195274699624457,253.319,69.0,Greed
2019-02-24,51.39,53.53,42.37,43.75,685277.01608,32440229.6963062,106805.0,318218.064,15093749.4097271,685277.01608,-48840.888079999946,43.75,45.192915876027826,2.3195274699624457,253.319,69.0,Greed
2019-02-25,43.74,46.85,43.0,45.4,377273.17275,16992487.3052862,52802.0,183753.22647,8281962.7421758,377273.17275,-9766.719810000039,45.4,54.310051107325386,2.3195274699624457,253.319,70.0,Greed
2019-02-26,45.4,45.89,44.06,44.76,220101.55494,9886505.2314402,34598.0,103140.22623,4633236.8579709,220101.55494,-13821.102480000001,44.81,51.57384987893463,2.3195274699624457,253.319,70.0,Greed
2019-02-27,44.77,45.53,42.51,45.16,223940.94505,9964616.9874317,35702.0,108949.85575,4849403.1134797,223940.94505,-6041.2335500000045,45.18,56.571640133283964,2.3195274699624457,253.319,72.0,Greed
2019-02-28,45.15,46.7,44.44,45.61,258562.96779,11834468.51228,44293.0,125150.07475,5729752.8120661,258562.96779,-8262.818289999996,45.62,58.05022156573118,2.3195274699624457,253.319,72.0,Greed
