Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2019-01-01,0.3918,0.4014,0.38,0.3997,290839.99,112864.348833,2091.0,157784.32,61461.089478,290839.99,24728.650000000023,0.401,44.82012442520962,2.3195274699624457,252.561,12.0,Extreme Fear
2019-01-02,0.4011,0.4119,0.3947,0.4099,238123.86,95883.888089,1886.0,126516.49,50956.882119,238123.86,14909.120000000024,0.4089,47.692307692307686,2.3195274699624457,252.561,12.0,Extreme Fear
2019-01-03,0.41,0.4124,0.3916,0.3977,173436.51,69695.705274,1628.0,110201.02,44338.756591,173436.51,46965.53,0.3984,41.63277164439278,2.3195274699624457,252.561,10.0,Extreme Fear
2019-01-04,0.3974,0.4197,0.3929,0.405,315383.98,127092.007462,2231.0,153884.14,62072.653606,315383.98,-7615.699999999953,0.4055,44.93576337018226,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-05,0.4045,0.4319,0.4045,0.4207,481323.81,201026.857268,3144.0,242652.53,101458.097011,481323.81,3981.25,0.4211,45.0178997613365,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-06,0.4208,0.4384,0.4106,0.435,440380.5,187592.037449,3064.0,234917.36,100300.533091,440380.5,29454.219999999972,0.4359,44.57142857142857,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-07,0.435,0.455,0.4277,0.4303,354990.67,155042.256849,2477.0,157945.94,69058.86428,354990.67,-39098.78999999998,0.4337,38.892529488859765,2.3195274699624457,252.561,19.0,Extreme Fear
2019-01-08,0.4316,0.4488,0.4205,0.4221,413204.68,176463.935736,3200.0,187054.54,79926.60774,413204.68,-39095.59999999998,0.4221,48.887973640856664,2.3195274699624457,252.561,22.0,Extreme Fear
2019-01-09,0.4222,0.4395,0.4217,0.4366,442830.82,191524.035392,2869.0,193371.34,83556.163536,442830.82,-56088.140000000014,0.4364,51.99374511336982,2.3195274699624457,252.561,27.0,Fear
2019-01-10,0.4364,0.4492,0.3528,0.3714,873546.49,343119.376317,5460.0,388582.16,151682.578334,873546.49,-96382.17000000004,0.3714,48.41645431379687,2.3195274699624457,252.561,31.0,Fear
