Date,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close,RSI,Inflation Rate,CPI,value,classification
2021-01-01,1.5088,1.86,1.499,1.8421,4421991.45,7454786.751421,55297.0,2245799.78,3786558.94633,4421991.45,69608.1099999994,1.841,53.98179749715586,7.159457345112474,262.639,50.0,Neutral
2021-01-02,1.8421,2.0,1.7116,1.7999,5253819.62,9557980.687576,66430.0,2823436.79,5138509.116142,5253819.62,393053.95999999996,1.799,53.64612775579423,7.159457345112474,262.639,50.0,Neutral
2021-01-03,1.7998,2.38,1.7973,2.1779,8318341.13,17482673.121984,113481.0,4234769.76,8925287.220955,8318341.13,151198.38999999966,2.176,65.03187837175086,7.159457345112474,262.639,50.0,Neutral
2021-01-04,2.1789,2.4989,1.86,2.4909,7800814.8,17263517.831706,122009.0,4012884.1,8935782.996058,7800814.8,224953.40000000037,2.491,70.61101549053356,7.159457345112474,262.639,50.0,Neutral
2021-01-05,2.4911,2.5093,2.0621,2.1636,6702006.99,15133557.770003,102299.0,3156689.79,7157811.062655,6702006.99,-388627.41000000015,2.162,62.8735632183908,7.159457345112474,262.639,50.0,Neutral
2021-01-06,2.1636,2.189,1.9017,1.9414,8451529.47,17221696.084861,88678.0,3594065.46,7342479.159203,8451529.47,-1263398.5500000007,1.941,64.63174478141,7.159457345112474,262.639,50.0,Neutral
2021-01-07,1.9404,2.65,1.9214,2.3635,30861006.24,70874327.568453,271878.0,16442161.48,37873764.633079,30861006.24,2023316.7200000025,2.364,67.91711325473383,7.159457345112474,262.639,50.0,Neutral
2021-01-08,2.3655,3.8,2.175,3.2214,29866396.67,88937219.791137,221673.0,15326054.47,45285859.111807,29866396.67,785712.2699999996,3.221,74.84593837535013,7.159457345112474,262.639,50.0,Neutral
2021-01-09,3.212,3.6998,2.93,3.3829,9881188.65,32398842.926319,109729.0,5107947.6,16773576.984372,9881188.65,334706.5499999989,3.381,78.47049044056524,7.159457345112474,262.639,50.0,Neutral
2021-01-10,3.3734,3.7517,3.1556,3.449,5819813.51,19820052.059074,70395.0,2974378.74,10115504.612912,5819813.51,128943.97000000067,3.445,79.34246575342465,7.159457345112474,262.639,50.0,Neutral
2021-01-11,3.4455,3.5282,2.5795,3.1016,8755693.07,26127396.636161,93075.0,4464491.8,13367837.212768,8755693.07,173290.52999999933,3.102,70.97115639057952,7.159457345112474,262.639,50.0,Neutral
2021-01-12,3.1016,3.88,3.058,3.6354,7075911.68,24684774.366721,155651.0,3589655.74,12527196.514783,7075911.68,103399.80000000075,3.637,73.63614515741409,7.159457345112474,262.639,50.0,Neutral
2021-01-13,3.6354,3.637,3.2633,3.5242,5123655.8,17689395.168177,99621.0,2399232.88,8278207.080563,5123655.8,-325190.04000000004,3.525,74.04543257612373,7.159457345112474,262.639,50.0,Neutral
2021-01-14,3.5243,3.5955,3.1814,3.2921,6422109.73,21634400.518985,96919.0,2874540.06,9683987.799833,6422109.73,-673029.6100000003,3.292,70.5340699815838,7.159457345112474,262.639,50.0,Neutral
2021-01-15,3.2921,3.4489,2.9618,3.2475,4812542.83,15747506.379938,74648.0,2344209.16,7689693.685132,4812542.83,-124124.50999999978,3.245,67.29916214884179,7.159457345112474,262.639,50.0,Neutral
