Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2024-01-01,11.8794,14.0,11.6576,13.9957,5296946.8,68175132.603,226191.0,2773350.8,35728693.3199,5296946.8,249754.7999999998,14.0,55.238095238095234,2.872366268806581,309.794,65.0,Greed
2024-01-02,13.9907,14.2129,12.494,12.7892,7175984.3,96021133.04775,319249.0,3487277.5,46687528.05886,7175984.3,-201429.2999999998,12.79,55.02846299810246,2.872366268806581,309.794,71.0,Greed
2024-01-03,12.7873,13.2242,9.36,12.1958,9242073.0,112302920.6159,411442.0,4312066.7,52506823.72904,9242073.0,-617939.5999999996,12.2,45.943204868154154,2.872366268806581,309.794,70.0,Greed
2024-01-04,12.1895,16.8135,11.9152,15.6324,17937146.6,264154773.95795,812318.0,9288130.9,136763836.19623,17937146.6,639115.1999999993,15.63,60.48632218844985,2.872366268806581,309.794,68.0,Greed
2024-01-05,15.6202,17.2987,14.5,15.5971,14531517.2,230312548.60159,765299.0,7121445.3,113051506.09589,14531517.2,-288626.5999999996,15.6,62.57861635220125,2.872366268806581,309.794,72.0,Greed
2024-01-06,15.6035,16.4376,14.0,14.3319,7926242.0,118916955.68114,360858.0,3884811.5,58395986.90564,7926242.0,-156619.0,14.33,57.39005046863735,2.872366268806581,309.794,70.0,Greed
2024-01-07,14.331,15.45,13.9532,14.3116,6406675.3,94766424.87188,310349.0,3126052.8,46262594.03511,6406675.3,-154569.7000000002,14.31,50.70656691604323,2.872366268806581,309.794,71.0,Greed
2024-01-08,14.32,14.359,12.4928,14.2152,10635086.9,143106991.46615,495070.0,5203736.9,70091281.25265,10635086.9,-227613.09999999963,14.22,52.09222886421862,2.872366268806581,309.794,71.0,Greed
2024-01-09,14.2153,16.6463,14.0904,14.9326,11773197.5,184221321.31566,633028.0,5747252.8,90015327.11072,11773197.5,-278691.9000000004,14.94,59.824561403508774,2.872366268806581,309.794,76.0,Extreme Greed
2024-01-10,14.9252,16.87,14.1,16.3017,8614013.5,130912755.4975,472432.0,4181264.9,63616532.21276,8614013.5,-251483.69999999972,16.3,64.30817610062894,2.872366268806581,309.794,73.0,Greed
