Date,close_x,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2019-01-01,0.11351,21211564.9,3908886.5,0.1136,49.872773536895686,2.3195274699624457,252.561,12.0,Extreme Fear
2019-01-02,0.11656,29386260.7,-1401622.8999999985,0.1167,52.808988764044955,2.3195274699624457,252.561,12.0,Extreme Fear
2019-01-03,0.11139,34837060.8,3206234.0,0.1114,41.20054570259209,2.3195274699624457,252.561,10.0,Extreme Fear
2019-01-04,0.11271,32717497.6,5514136.799999997,0.1127,45.5861070911722,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-05,0.11148,35826640.9,4646358.700000003,0.1116,43.75,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-06,0.11871,46045092.8,6097709.6000000015,0.1189,45.87412587412588,2.3195274699624457,252.561,16.0,Extreme Fear
2019-01-07,0.12232,69725772.8,859815.0,0.1222,43.75,2.3195274699624457,252.561,19.0,Extreme Fear
2019-01-08,0.12153,60831886.4,6110284.0,0.1215,52.62237762237762,2.3195274699624457,252.561,22.0,Extreme Fear
2019-01-09,0.1225,46637146.1,3238415.1000000015,0.1224,53.44827586206896,2.3195274699624457,252.561,27.0,Fear
2019-01-10,0.10595,99969300.9,258342.89999999106,0.106,48.74213836477987,2.3195274699624457,252.561,31.0,Fear
2019-01-11,0.10385,59381883.4,4451433.200000003,0.104,36.51376146788989,2.3195274699624457,252.561,30.0,Fear
2019-01-12,0.10447,34918334.2,5729220.599999994,0.1045,39.92172211350293,2.3195274699624457,252.561,30.0,Fear
2019-01-13,0.10102,65655302.9,-5474087.6999999955,0.1011,36.96857670979667,2.3195274699624457,252.561,30.0,Fear
2019-01-14,0.10732,48781156.6,4230815.0,0.1072,47.45454545454546,2.3195274699624457,252.561,28.0,Fear
2019-01-15,0.1037,33954473.0,1354239.3999999985,0.1038,41.05839416058394,2.3195274699624457,252.561,31.0,Fear
2019-01-16,0.10551,19928841.4,680075.200000003,0.1055,39.5131086142322,2.3195274699624457,252.561,36.0,Fear
2019-01-17,0.10712,33367460.6,2724888.6000000015,0.1072,45.78313253012048,2.3195274699624457,252.561,44.0,Fear
2019-01-18,0.10542,17173987.2,-1766608.5999999987,0.1055,42.82868525896415,2.3195274699624457,252.561,51.0,Greed
2019-01-19,0.10651,31975911.6,-2117898.0,0.1065,44.91017964071856,2.3195274699624457,252.561,51.0,Greed
2019-01-20,0.10289,41630238.0,312736.200000003,0.1028,32.68817204301075,2.3195274699624457,252.561,51.0,Greed
2019-01-21,0.10139,30834243.6,1405889.1999999993,0.1016,26.8018018018018,2.3195274699624457,252.561,51.0,Greed
2019-01-22,0.10209,33709460.4,5812813.8000000045,0.1021,28.05429864253395,2.3195274699624457,252.561,51.0,Greed
2019-01-23,0.10068,24497735.7,-613743.5,0.1007,25.72706935123044,2.3195274699624457,252.561,55.0,Greed
2019-01-24,0.101,19630183.5,484618.1000000015,0.101,41.25874125874128,2.3195274699624457,252.561,58.0,Greed
